Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model
77,BMW,2000,3.5,Hybrid,Manual,146663,New,60767.46,X5
78,Audi,2000,1.4,Hybrid,Automatic,72219,Like New,9660.54,Q7
79,Mercedes,2000,5.2,Electric,Manual,65350,Like New,71592.12,E-Class
80,Honda,2000,3.3,Petrol,Manual,254322,Used,39136.84,Civic
81,Honda,2000,5.2,Diesel,Automatic,20505,Like New,56988.37,Accord
82,BMW,2000,5.4,Electric,Manual,94594,New,13684.37,X3
83,BMW,2000,5.5,Electric,Manual,167644,Used,22159.58,X5
84,Honda,2000,2.5,Diesel,Manual,174898,Like New,69598.62,Fit
85,Mercedes,2000,4.8,Petrol,Automatic,158818,Like New,54955.72,GLA
86,Honda,2000,5.8,Electric,Automatic,136421,Like New,18249.22,Fit
87,Mercedes,2000,3.2,Diesel,Manual,125801,Used,87935.6,GLC
88,Toyota,2000,3.1,Diesel,Manual,257249,Used,84690.37,Prius
89,Mercedes,2000,1.3,Hybrid,Automatic,269284,Used,60495.36,GLA
90,Audi,2000,1.4,Electric,Manual,228208,Used,88047.31,Q7
91,Honda,2000,1.2,Electric,Automatic,178982,New,75550.02,CR-V
92,Ford,2000,2.7,Petrol,Manual,22222,New,81902.35,Explorer
93,Toyota,2000,3.8,Diesel,Manual,225956,Like New,54881.07,Prius
94,Honda,2001,1.0,Electric,Automatic,235994,New,83522.8,Fit
95,BMW,2001,3.2,Diesel,Automatic,250309,Used,43559.34,X3
96,BMW,2001,4.4,Petrol,Automatic,5913,New,30894.45,X3
97,BMW,2001,2.6,Diesel,Manual,179992,Like New,96018.28,X3
98,Toyota,2001,1.5,Electric,Manual,14407,Used,22705.09,Prius
99,Honda,2001,4.0,Diesel,Manual,27584,Like New,27404.42,Accord
100,Mercedes,2001,2.2,Diesel,Manual,263358,Used,75888.1,GLA
101,Audi,2001,2.1,Petrol,Automatic,257419,Used,93026.99,A4
102,Toyota,2001,3.0,Diesel,Automatic,23382,Used,90478.61,Corolla
103,Audi,2001,2.2,Diesel,Automatic,141295,New,98346.28,Q7
104,Mercedes,2001,6.0,Electric,Manual,253800,Used,21272.6,C-Class
105,Tesla,2001,4.3,Hybrid,Manual,110205,Like New,64335.6,Model Y
106,Toyota,2001,4.5,Petrol,Automatic,109017,Like New,13522.26,Prius
107,Toyota,2001,4.3,Hybrid,Automatic,230517,Like New,27011.56,Prius
108,Honda,2001,1.4,Petrol,Manual,178321,Used,38755.05,Accord
109,Toyota,2001,4.6,Diesel,Automatic,216897,New,90870.69,Corolla
110,Ford,2001,1.5,Hybrid,Manual,83211,New,76481.99,Explorer
111,Ford,2001,4.4,Diesel,Manual,234295,New,18271.73,Focus
112,Audi,2001,3.7,Diesel,Manual,92889,New,40422.68,A4
113,Mercedes,2001,2.0,Diesel,Manual,50969,Used,49898.25,GLA
114,Honda,2001,4.7,Petrol,Manual,27676,Used,80932.55,Civic
115,BMW,2001,5.0,Diesel,Automatic,142290,Like New,86891.77,5 Series
116,Ford,2001,1.5,Hybrid,Manual,294614,Like New,82854.17,Mustang
117,Audi,2001,4.8,Electric,Automatic,13580,Like New,36871.76,A3
118,Tesla,2001,5.1,Petrol,Manual,17878,New,24633.93,Model X
119,Tesla,2001,1.0,Diesel,Manual,247181,New,14346.62,Model X
120,Ford,2001,5.1,Electric,Manual,220073,New,60889.82,Fiesta
121,BMW,2001,4.6,Petrol,Manual,256463,Like New,84156.07,X5
122,Audi,2001,1.3,Electric,Automatic,155002,Used,16289.72,Q5
123,Toyota,2001,5.9,Diesel,Automatic,18452,Used,57588.09,RAV4
124,Tesla,2001,5.1,Hybrid,Manual,76054,Used,8072.8,Model 3
125,Toyota,2001,4.7,Petrol,Manual,156215,Like New,55470.46,RAV4
126,Ford,2001,4.8,Hybrid,Manual,105935,Used,48123.61,Explorer
127,Tesla,2001,5.5,Electric,Manual,34831,Used,32688.55,Model Y
128,Tesla,2001,1.8,Diesel,Automatic,298875,Like New,58872.6,Model 3
129,Honda,2001,4.3,Petrol,Manual,21711,Like New,73772.65,Fit
130,Tesla,2001,4.4,Hybrid,Automatic,191634,Used,68219.93,Model 3
131,Tesla,2001,2.6,Hybrid,Manual,249602,Used,11231.13,Model 3
132,BMW,2001,4.2,Hybrid,Manual,31335,Used,29507.23,5 Series
133,Honda,2001,3.7,Hybrid,Automatic,294067,Used,19754.74,Fit
134,Tesla,2001,2.8,Petrol,Automatic,252856,New,68429.03,Model 3
135,Honda,2001,2.6,Diesel,Manual,9759,Used,8261.56,Civic
136,Audi,2001,1.3,Hybrid,Manual,257443,New,18936.55,A3
137,Mercedes,2001,2.3,Petrol,Manual,162586,Used,90378.98,E-Class
138,Tesla,2001,1.7,Petrol,Automatic,108261,Used,79141.77,Model Y
139,Tesla,2001,3.8,Hybrid,Manual,44308,Used,66929.12,Model 3
140,Ford,2001,2.6,Diesel,Manual,191196,Like New,16665.04,Mustang
141,Audi,2001,5.4,Petrol,Automatic,93778,Used,8434.5,Q7
142,Audi,2001,5.7,Hybrid,Manual,77701,Like New,24710.35,A3
143,Toyota,2001,2.6,Diesel,Automatic,43262,New,14767.92,RAV4
144,Honda,2001,3.9,Hybrid,Manual,46104,Like New,17291.19,Accord
145,Audi,2001,1.3,Diesel,Manual,271127,Used,54899.83,A4
146,Toyota,2001,4.5,Electric,Automatic,46996,Like New,74717.66,Corolla
147,Audi,2001,2.5,Electric,Manual,44989,New,93926.98,A4
148,Toyota,2001,5.5,Electric,Manual,278494,Used,48135.89,RAV4
149,Mercedes,2001,1.8,Petrol,Automatic,274915,Like New,89928.83,GLA
150,Tesla,2001,1.2,Petrol,Manual,158651,Like New,70253.37,Model X
151,Audi,2001,5.3,Hybrid,Automatic,33055,New,88895.86,Q5
152,Audi,2001,2.7,Petrol,Manual,297197,Like New,66410.9,Q5
153,Audi,2001,5.8,Hybrid,Manual,96008,Like New,39870.93,A4
154,Audi,2001,3.8,Electric,Manual,56627,Used,18275.36,A3
155,Audi,2001,3.9,Electric,Manual,125607,Like New,96779.22,Q7
156,Tesla,2001,4.0,Hybrid,Manual,125702,New,11485.26,Model Y
157,Audi,2001,3.5,Hybrid,Manual,294721,Like New,54493.53,Q7
158,Toyota,2001,2.1,Hybrid,Automatic,47800,New,79411.38,Camry
159,Tesla,2001,1.9,Petrol,Automatic,79164,Used,81717.78,Model S
160,Mercedes,2001,4.1,Diesel,Automatic,40491,Like New,5931.77,E-Class
161,Toyota,2001,4.8,Petrol,Automatic,47632,Like New,17135.56,Prius
162,Toyota,2001,3.7,Diesel,Manual,264826,New,54479.15,RAV4
163,Ford,2001,3.1,Diesel,Manual,214020,Like New,90105.17,Fiesta
164,Tesla,2001,5.8,Petrol,Manual,61748,Used,44956.1,Model S
165,Ford,2001,5.2,Petrol,Manual,190093,Used,5537.99,Mustang
166,Ford,2001,5.0,Petrol,Automatic,131980,Used,9078.93,Explorer
167,BMW,2001,2.5,Hybrid,Manual,73079,New,5843.96,X5
168,Tesla,2001,4.1,Hybrid,Automatic,37805,Used,11371.43,Model S
169,Toyota,2001,4.4,Hybrid,Manual,216854,New,59551.72,RAV4
170,Honda,2001,1.4,Diesel,Automatic,104512,New,14920.13,Civic
171,Mercedes,2001,5.6,Diesel,Automatic,117286,New,37364.26,C-Class
172,Honda,2001,4.2,Diesel,Automatic,31126,Used,27999.4,CR-V
173,Ford,2001,4.8,Petrol,Automatic,130613,Like New,63144.71,Focus
174,Audi,2001,5.9,Electric,Manual,241324,Like New,19070.54,Q5
175,Honda,2001,3.3,Electric,Automatic,194894,Like New,11604.55,Fit
176,Ford,2001,2.8,Petrol,Automatic,16740,Like New,16981.03,Mustang
177,BMW,2001,4.0,Petrol,Manual,216085,Like New,82477.46,X5
178,Honda,2001,4.5,Electric,Manual,191082,New,57241.3,Civic
179,Toyota,2001,3.3,Electric,Automatic,115313,New,74988.63,Corolla
180,Tesla,2001,1.7,Electric,Automatic,39015,New,95395.26,Model 3
181,Honda,2001,4.3,Petrol,Manual,149102,New,26632.41,Accord
182,Toyota,2001,4.8,Electric,Automatic,99468,Like New,86348.52,Camry
183,Ford,2001,3.5,Hybrid,Manual,66126,Used,9592.2,Mustang
184,Toyota,2001,1.2,Hybrid,Manual,31655,New,71558.31,Camry
185,Toyota,2001,4.9,Petrol,Manual,17881,Like New,71976.64,Prius
186,BMW,2001,4.4,Petrol,Automatic,146874,Used,78191.59,5 Series
187,BMW,2001,1.2,Diesel,Automatic,203225,Used,70928.77,5 Series
188,Ford,2001,1.9,Diesel,Manual,161508,Like New,36890.94,Explorer
189,Honda,2001,6.0,Hybrid,Automatic,181675,Like New,78522.88,CR-V
190,Audi,2001,3.6,Diesel,Automatic,206238,Like New,34109.11,A4
191,Audi,2001,4.5,Petrol,Automatic,91627,Used,21684.35,A4
192,BMW,2001,4.9,Electric,Automatic,280372,Like New,43398.25,X3
193,BMW,2001,5.6,Hybrid,Manual,289068,New,14281.89,3 Series
194,Mercedes,2001,4.7,Petrol,Automatic,42903,New,79561.1,GLA
195,Toyota,2001,2.3,Petrol,Manual,281039,New,14527.21,Corolla
196,Honda,2001,3.9,Electric,Manual,20044,New,59133.42,Accord
197,Audi,2001,5.3,Diesel,Manual,234729,Used,71954.76,Q5
198,Toyota,2001,1.3,Hybrid,Manual,229728,Used,35593.06,Corolla
199,Honda,2001,1.5,Hybrid,Manual,44348,Used,24729.99,Accord
200,Honda,2001,1.7,Petrol,Automatic,51458,New,41047.31,Civic
201,Tesla,2001,1.5,Hybrid,Manual,200144,New,85056.02,Model S
202,Audi,2001,3.2,Petrol,Manual,152606,Like New,37000.75,Q7
203,BMW,2002,5.6,Diesel,Automatic,172624,Like New,75066.13,5 Series
204,BMW,2002,2.4,Hybrid,Manual,284931,Like New,83982.13,3 Series
205,Honda,2002,3.2,Petrol,Manual,220511,Used,58728.23,CR-V
206,Ford,2002,4.7,Electric,Automatic,61009,New,66947.85,Mustang
207,Tesla,2002,3.4,Electric,Automatic,121701,Like New,56797.72,Model Y
208,Audi,2002,2.6,Electric,Automatic,237677,Like New,58196.1,A3
209,Tesla,2002,2.7,Hybrid,Automatic,296784,Like New,93020.52,Model Y
210,Ford,2002,3.1,Petrol,Manual,149485,Used,55151.37,Focus
211,Honda,2002,3.8,Petrol,Manual,199378,Used,68755.69,CR-V
212,Tesla,2002,3.9,Electric,Automatic,35577,Used,71821.17,Model S
213,BMW,2002,1.2,Diesel,Manual,85615,Like New,59185.74,X5
214,Honda,2002,5.7,Electric,Automatic,97841,Like New,14489.2,Fit
215,Toyota,2002,4.9,Petrol,Automatic,141280,New,71109.39,Prius
216,Audi,2002,3.0,Diesel,Manual,87493,New,91162.56,Q7
217,Mercedes,2002,2.5,Electric,Manual,20719,Like New,37577.37,GLC
218,Mercedes,2002,2.9,Diesel,Manual,245702,Like New,31066.33,E-Class
219,Audi,2002,2.9,Electric,Manual,93449,Like New,98153.0,Q7
220,Audi,2002,3.6,Petrol,Automatic,34512,New,61282.1,A4
221,BMW,2002,2.4,Hybrid,Manual,10588,Like New,72016.25,3 Series
222,Toyota,2002,2.4,Petrol,Automatic,214772,Like New,97461.61,Prius
223,Tesla,2002,5.4,Diesel,Automatic,49294,New,5558.56,Model Y
224,Audi,2002,4.0,Electric,Automatic,182155,Like New,43215.92,Q7
225,BMW,2002,3.8,Electric,Automatic,104509,Used,59521.86,X5
226,Honda,2002,5.1,Diesel,Manual,176282,Used,55623.0,Fit
227,Tesla,2002,5.8,Diesel,Manual,89882,Like New,89909.81,Model X
228,Ford,2002,1.3,Hybrid,Automatic,138982,Used,95965.09,Fiesta
229,Toyota,2002,2.8,Petrol,Manual,161171,New,87119.23,Corolla
230,Ford,2002,1.9,Diesel,Manual,3743,New,68878.6,Mustang
231,Tesla,2002,4.7,Diesel,Manual,5914,Used,24001.54,Model Y
232,Honda,2002,2.0,Petrol,Automatic,103431,Like New,80147.84,Accord
233,Tesla,2002,2.2,Electric,Manual,21825,Like New,84320.65,Model Y
234,Mercedes,2002,2.0,Hybrid,Manual,159186,Used,53550.0,C-Class
235,BMW,2002,2.2,Petrol,Manual,207132,Used,41850.4,5 Series
236,Tesla,2002,3.8,Hybrid,Manual,213328,Like New,15198.63,Model X
237,Audi,2002,1.0,Electric,Automatic,199888,Used,82335.21,A4
238,Ford,2002,4.2,Diesel,Automatic,246590,Used,24217.35,Explorer
239,Toyota,2002,4.0,Electric,Automatic,174904,New,19390.86,Prius
240,Tesla,2002,4.8,Electric,Manual,191799,Used,59365.44,Model X
241,Tesla,2002,5.9,Electric,Manual,264509,Used,20433.72,Model Y
242,Tesla,2002,4.4,Diesel,Manual,272678,New,69454.52,Model X
243,Mercedes,2002,2.5,Diesel,Manual,237626,Used,6491.02,GLA
244,Mercedes,2002,3.0,Electric,Manual,108668,New,73959.9,E-Class
245,Mercedes,2002,3.9,Electric,Automatic,62085,New,45314.56,E-Class
246,Toyota,2002,1.8,Diesel,Manual,287374,Like New,90558.59,Corolla
247,Honda,2002,4.9,Electric,Manual,186764,Used,66900.0,Accord
248,Mercedes,2002,3.5,Petrol,Automatic,163394,Like New,31366.2,E-Class
249,BMW,2002,3.8,Diesel,Automatic,289884,Used,86087.85,X3
250,Mercedes,2002,2.4,Petrol,Manual,246834,Like New,89084.97,GLA
251,Mercedes,2002,4.9,Petrol,Automatic,209190,Used,89243.39,E-Class
252,BMW,2002,4.4,Electric,Automatic,40391,Used,68399.37,3 Series
253,Ford,2002,4.8,Hybrid,Manual,297429,Like New,7611.82,Fiesta
254,Tesla,2002,5.0,Electric,Automatic,280083,Like New,79352.23,Model S
255,Audi,2002,2.3,Diesel,Manual,267223,Used,71894.7,Q5
256,Mercedes,2002,5.9,Hybrid,Automatic,123649,Like New,91256.46,GLA
257,Honda,2002,3.9,Electric,Manual,124288,Used,77537.37,Fit
258,Toyota,2002,3.1,Diesel,Manual,299140,Like New,88002.37,Camry
259,BMW,2002,1.5,Petrol,Automatic,157723,Like New,14174.78,X3
260,Ford,2002,4.7,Electric,Manual,214469,New,17672.68,Mustang
261,Tesla,2002,2.7,Petrol,Manual,147748,New,66352.03,Model X
262,Ford,2002,1.6,Hybrid,Automatic,17718,Like New,78846.68,Fiesta
263,Mercedes,2002,1.9,Diesel,Manual,276469,Like New,43500.61,C-Class
264,Toyota,2002,3.0,Hybrid,Manual,123323,New,57231.5,Prius
265,Mercedes,2002,4.4,Petrol,Manual,208574,Used,43398.51,E-Class
266,BMW,2002,2.5,Electric,Manual,40484,Used,59637.74,5 Series
267,Mercedes,2002,2.0,Diesel,Manual,288453,Used,92079.5,E-Class
268,BMW,2002,4.1,Hybrid,Automatic,66483,Like New,48326.64,5 Series
269,Honda,2002,2.7,Electric,Automatic,212376,New,16453.63,Civic
270,Audi,2002,4.5,Diesel,Manual,229164,Like New,46085.67,Q5
271,Ford,2002,4.9,Electric,Manual,249120,Like New,62570.96,Mustang
272,Audi,2002,2.6,Electric,Automatic,215155,New,21661.92,Q7
273,Honda,2002,1.4,Diesel,Automatic,139148,Like New,92244.99,Accord
274,Ford,2002,4.9,Petrol,Manual,19199,New,82914.6,Explorer
275,Tesla,2002,5.1,Petrol,Manual,270628,New,59783.97,Model X
276,Tesla,2002,3.3,Hybrid,Automatic,148182,Used,89434.74,Model X
277,Mercedes,2002,2.1,Electric,Automatic,78672,Used,50966.83,E-Class
278,Tesla,2002,1.3,Petrol,Automatic,104332,Like New,38857.38,Model X
279,Mercedes,2002,2.7,Diesel,Manual,203400,Used,41682.58,E-Class
280,Honda,2002,4.0,Petrol,Manual,106968,Like New,28214.89,CR-V
281,Honda,2002,5.5,Electric,Manual,82494,Like New,29369.44,CR-V
282,Audi,2002,5.4,Petrol,Automatic,96950,New,30103.17,Q5
283,Mercedes,2002,4.1,Diesel,Automatic,288614,New,14912.93,E-Class
284,Mercedes,2002,3.5,Hybrid,Automatic,212628,Like New,41570.33,GLC
285,Toyota,2002,5.0,Electric,Manual,73601,New,40805.03,Camry
286,Audi,2002,5.9,Petrol,Automatic,175403,Used,12490.66,A3
287,Toyota,2002,1.8,Electric,Manual,64541,Used,47346.4,Corolla
288,Mercedes,2002,3.3,Electric,Manual,34986,New,94112.67,C-Class
289,Mercedes,2002,4.6,Electric,Manual,223274,New,76403.56,GLA
290,BMW,2002,1.1,Hybrid,Manual,58150,Like New,14552.91,3 Series
291,Ford,2002,2.1,Petrol,Manual,179889,Used,73235.92,Explorer
292,Honda,2002,5.0,Petrol,Manual,205355,Like New,7716.51,Civic
293,BMW,2002,4.2,Hybrid,Automatic,113926,Used,67785.03,X3
294,Mercedes,2002,5.3,Diesel,Manual,278744,Used,7424.77,C-Class
295,BMW,2002,4.3,Hybrid,Automatic,205383,Used,54541.42,X3
296,Audi,2002,3.6,Hybrid,Manual,206518,Like New,90416.6,A3
297,Audi,2002,2.7,Diesel,Manual,74779,Like New,25255.35,A4
298,Ford,2002,4.4,Petrol,Automatic,21050,Used,25450.91,Explorer
299,BMW,2002,2.1,Diesel,Manual,270855,Used,94486.25,X3
300,Audi,2002,3.6,Electric,Automatic,159141,New,48185.43,Q7
301,Tesla,2002,3.6,Diesel,Automatic,255392,New,41508.52,Model Y
302,BMW,2002,2.2,Electric,Automatic,133858,Like New,52430.24,5 Series
303,Tesla,2002,3.4,Diesel,Automatic,202259,Like New,91620.23,Model 3
304,Audi,2002,2.7,Electric,Manual,275659,Used,40923.43,A3
305,Audi,2002,2.4,Diesel,Manual,273302,New,92834.17,A4
306,Toyota,2002,4.7,Electric,Manual,102840,Like New,22424.55,Corolla
307,Tesla,2002,4.6,Diesel,Automatic,6764,Like New,84071.65,Model Y
308,Tesla,2002,3.0,Diesel,Manual,106683,Used,33334.43,Model X
309,Toyota,2002,5.9,Hybrid,Manual,165458,New,98645.75,RAV4
310,Tesla,2002,5.8,Diesel,Manual,16292,Used,99034.93,Model 3
311,Audi,2002,5.0,Diesel,Automatic,53281,New,72208.89,Q7
312,BMW,2002,1.2,Electric,Manual,179884,Like New,49337.96,5 Series
313,Audi,2003,5.7,Petrol,Automatic,3060,Used,83183.16,A4
314,Mercedes,2003,3.0,Petrol,Automatic,277941,Used,55695.38,E-Class
315,Audi,2003,5.4,Petrol,Manual,250220,Like New,46849.57,Q7
316,Honda,2003,2.7,Diesel,Manual,235835,Used,54051.23,Accord
317,BMW,2003,2.2,Hybrid,Automatic,206205,Like New,28978.91,X5
318,Toyota,2003,1.8,Diesel,Manual,257653,Used,92975.9,Camry
319,Toyota,2003,1.8,Electric,Automatic,14551,New,74598.88,RAV4
320,Audi,2003,3.0,Electric,Automatic,200935,New,36089.69,Q5
321,Ford,2003,4.5,Diesel,Automatic,180116,Like New,37930.84,Fiesta
322,Toyota,2003,4.0,Petrol,Automatic,26014,Like New,72588.15,Corolla
323,Tesla,2003,5.1,Petrol,Automatic,4861,Used,45422.54,Model S
324,Audi,2003,4.6,Electric,Manual,294957,Like New,33688.28,Q5
325,Mercedes,2003,4.2,Electric,Automatic,284220,Used,8239.09,GLC
326,Mercedes,2003,1.1,Diesel,Automatic,55063,Used,15722.59,GLA
327,Mercedes,2003,1.3,Petrol,Manual,146511,New,28360.3,E-Class
328,Mercedes,2003,2.2,Electric,Automatic,256216,Used,69051.99,C-Class
329,Ford,2003,3.0,Electric,Manual,73414,New,33048.47,Mustang
330,Toyota,2003,1.4,Hybrid,Automatic,181593,Used,24791.06,Camry
331,Honda,2003,4.6,Electric,Automatic,115503,New,93096.6,CR-V
332,BMW,2003,4.4,Diesel,Automatic,212139,Like New,34382.84,3 Series
333,Honda,2003,2.4,Diesel,Automatic,242463,Like New,40304.19,CR-V
334,Honda,2003,1.7,Electric,Automatic,85366,Like New,5060.75,Accord
335,Honda,2003,5.3,Electric,Automatic,25905,Used,80267.55,Accord
336,Ford,2003,3.5,Petrol,Automatic,279778,New,16273.89,Fiesta
337,Toyota,2003,1.2,Hybrid,Automatic,118643,Used,13780.0,Corolla
338,Mercedes,2003,3.9,Hybrid,Automatic,7887,Used,85432.22,E-Class
339,Toyota,2003,2.9,Petrol,Manual,221432,Like New,80975.36,Prius
340,BMW,2003,2.0,Diesel,Automatic,246160,New,70771.94,5 Series
341,Honda,2003,4.3,Hybrid,Automatic,85637,Like New,85770.04,Fit
342,BMW,2003,4.3,Hybrid,Automatic,255069,Like New,92787.78,3 Series
343,Mercedes,2003,1.1,Diesel,Automatic,50391,Used,42007.55,C-Class
344,Tesla,2003,4.2,Diesel,Manual,18226,Like New,29938.42,Model 3
345,Honda,2003,5.4,Petrol,Manual,182615,Used,53513.59,CR-V
346,Toyota,2003,2.0,Hybrid,Manual,102201,Used,65718.75,Corolla
347,Audi,2003,4.2,Diesel,Manual,152185,New,44094.52,A3
348,Tesla,2003,3.6,Hybrid,Manual,86755,Used,88066.77,Model Y
349,Mercedes,2003,4.5,Petrol,Automatic,83721,New,42677.58,GLC
350,Mercedes,2003,1.8,Diesel,Automatic,55773,New,38570.1,C-Class
351,Toyota,2003,1.7,Electric,Manual,102652,Used,69401.54,Prius
352,Ford,2003,5.0,Electric,Manual,237011,New,54826.47,Focus
353,Audi,2003,1.5,Petrol,Automatic,296866,New,21080.81,Q7
354,Mercedes,2003,5.8,Diesel,Automatic,54333,Like New,42708.0,GLC
355,Audi,2003,2.1,Hybrid,Manual,188418,Used,35068.17,Q7
356,BMW,2003,5.5,Electric,Automatic,161929,Used,96941.02,X5
357,Toyota,2003,2.8,Diesel,Manual,208196,Used,45121.15,Corolla
358,BMW,2003,3.1,Electric,Manual,168410,Like New,22947.88,5 Series
359,Audi,2003,1.3,Diesel,Automatic,133726,New,56072.54,A4
360,Honda,2003,2.0,Diesel,Manual,177696,Used,55861.19,Fit
361,Ford,2003,3.0,Electric,Automatic,290375,Used,7669.66,Fiesta
